Strain,O type,H type,Serotype,Host,WGS,LSPA6
18-9396-contigs-all,O45,H2,O45:H2,Human,1,N/A
18-9766-contigs-all,O145,H28,O145:NM,Human,1,N/A
18-9767-contigs-all,O113,H21,O113:H21,Human,1,N/A
18-9773-contigs-all,O103,H2,O103:H2,Human,1,N/A
18-9794-contigs-all,O145,H28,O145:NM,Human,1,N/A
18-9890-contigs-all,O121,H19,O121:H19,Human,1,N/A
18-9891-contigs-all,O121,H19,O121:H19,Human,1,N/A
18-9893-contigs-all,O121,H19,O121:H19,Human,1,N/A
18-9894-contigs-all,O121,H19,O121:H19,Human,1,N/A
18-9982-contigs-all,O145,H28,O145:NM,Human,1,N/A
18-9983-contigs-all,O145,H28,O145:NM,Human,1,N/A
ECI-2624,O26,H11,O26:H11,Bovine,0,
ECI-2631,O45,H2,O45:H2,Human,0,
ECI-2654,O93,H28,O93:H28,Bovine,0,
ECI-2836,O185,H7,O185:H7,Water,1,
ECI-2859,O73,H2,O73:H2,Human,1,
ECI-0013,O145,NM,O145:NM,Human,0,
ECI-0158,O26,H11,O26:H11,Human,0,
ECI-1817,O121,NM,O121:NM,Human,0,
ECI-1841,O113,NM,O113:NM,Bovine,0,
ECI-2584,O121,H7,O121:H7,Water,0,
ECI-2895,O46,H38,O46:H38,Water,1,
ECI-2995,O46,H38,O46:H38,Water,1,
ECI-0008,O91,H21,O91:H21,Human,1,
ECI-0015,O121,H19,O121:H19,Human,1,
ECI-0123,O26,H11,O26:H11,Human,1,
ECI-0132,O111,H8,O111:H8,Human,1,
ECI-0217,O157,H7,O157:H7,Human,1,
ECI-0249,O157,H7,O157:H7,Human,1,
ECI-0258,O157,H7,O157:H7,Human,1,
ECI-0270,O157,H7,O157:H7,Human,1,
ECI-0272,O157,H7,O157:H7,Human,1,21.0
ECI-0351,O157,H7,O157:H7,Human,1,
ECI-0357,O157,H7,O157:H7,Human,1,
ECI-0497,O157,H7,O157:H7,Human,1,
ECI-0504,O157,H7,O157:H7,Human,1,
ECI-0715,O111,H8,O111:H8,Bovine,1,
ECI-0855,O157,H7,O157:H7,Human,1,
ECI-0857,O157,H7,O157:H7,Human,1,
ECI-0882,O157,H7,O157:H7,Human,1,
ECI-0887,O157,H7,O157:H7,Water,1,
ECI-1146,O157,H7,O157:H7,Water,1,11.0
ECI-1156,O157,H7,O157:H7,Water,1,11.0
ECI-1364,O26,H11,O26:H11,Bovine,1,
ECI-1437,O157,H7,O157:H7,Bovine,1,11.0
ECI-1618,O157,H7,O157:H7,Water,1,11.0
ECI-1717,O157,H7,O157:H7,Bovine,1,22.0
ECI-1718,O157,H7,O157:H7,Water,1,11.0
ECI-1757,O157,H7,O157:H7,Human,1,11.0
ECI-1768,O157,H7,O157:H7,Human,1,11.0
ECI-1830,O113,H4,O113:H4,Bovine,1,
ECI-1839,O91,H21,O91:H21,Human,1,
ECI-1842,O91,H21,O91:H21,Human,1,
ECI-1848,O104,H21,O104:H21,Human,1,
ECI-1853,O103,H2,O103:H2,Human,1,
ECI-1854,O145,H28,O145:H28,Human,1,
ECI-1856,O113,H21,O113:H21,Human,1,
ECI-1858,O91,H21,O91:H21,Human,1,
ECI-1862,O111,H8,O111:H8,Human,1,
ECI-1864,O157,H7,O157:H7,Human,1,21.0
ECI-1871,O145,H28,O145:H28,Human,1,
ECI-1907,O157,H7,O157:H7,Bovine,1,21.0
ECI-1908,O157,H7,O157:H7,Bovine,1,21.0
ECI-1909,O157,H7,O157:H7,Bovine,1,21.0
ECI-1910,O157,H7,O157:H7,Bovine,1,21.0
ECI-1911,O157,H7,O157:H7,Bovine,1,21.0
ECI-1912,O157,H7,O157:H7,Bovine,1,21.0
ECI-1914,O157,H7,O157:H7,Human,1,21.0
ECI-2121,O157,H7,O157:H7,Avian.Goose,1,11.0
ECI-2223,O157,H7,O157:H7,Water,1,11.0
ECI-2297,O121,H19,O121:H19,Human,1,
ECI-2298,O103,H2,O103:H2,Human,1,
ECI-2303,O45,H2,O45:H2,Human,1,
ECI-2306,O145,H28,O145:H28,Human,1,
ECI-2307,O91,H21,O91:H21,Human,1,
ECI-2309,O121,H19,O121:H19,Human,1,
ECI-2315,O103,H11,O103:H11,Human,1,
ECI-2324,O157,H7,O157:H7,Water,1,11.0
ECI-2355,O157,H7,O157:H7,Water,1,11.0
ECI-2358,O157,H7,O157:H7,Water,1,11.0
ECI-2359,O157,H7,O157:H7,Water,1,11.0
ECI-2386,O157,H7,O157:H7,Human,1,11.0
ECI-2403,O157,H7,O157:H7,Meat,1,11.0
ECI-2570,O111,H8,O111:H8,Bovine,1,
ECI-2571,O111,H8,O111:H8,Bovine,1,
ECI-2572,O111,H8,O111:H8,Human,1,
ECI-2573,O111,H8,O111:H8,Bovine,1,
ECI-2577,O111,H8,O111:H8,Human,1,
ECI-2578,O121,H7,O121:H7,Bovine,1,
ECI-2579,O121,H19,O121:H19,Human,1,
ECI-2580,O121,H19,O121:H19,Human,1,
ECI-2583,O121,H19,O121:H19,Bovine,1,
ECI-2585,O145,H28,O145:H28,Human,1,
ECI-2586,O145,H28,O145:H28,Human,1,
ECI-2587,O145,H25,O145:H25,Human,1,
ECI-2588,O145,H28,O145:H28,Human,1,
ECI-2591,O145,H28,O145:H28,Bovine,1,
ECI-2592,O145,H28,O145:H28,Bovine,1,
ECI-2593,O113,H4,O113:H4,Bovine,1,
ECI-2595,O113,H21,O113:H21,Human,1,
ECI-2597,O113,H4,O113:H4,Human,1,
ECI-2599,O113,H21,O113:H21,Bovine,1,
ECI-2600,O113,H21,O113:H21,Human,1,
ECI-2601,O113,H21,O113:H21,Human,1,
ECI-2602,O113,H21,O113:H21,Bovine,1,
ECI-2603,O104,H7,O104:H7,Bovine,1,
ECI-2604,O104,H7,O104:H7,Bovine,1,
ECI-2605,O104,H7,O104:H7,Ovine,1,
ECI-2606,O104,H7,O104:H7,Ovine,1,
ECI-2607,O8,H21,O8:H21,Bovine,1,
ECI-2608,O104,H21,O104:H21,Human,1,
ECI-2609,O104,H2,O104:H2,Water,1,
ECI-2610,O91,H14,O91:H14,Ovine,1,
ECI-2611,O91,H14,O91:H14,Ovine,1,
ECI-2614,O91,H21,O91:H21,Bovine,1,
ECI-2615,O91,H21,O91:H21,Bovine,1,
ECI-2616,O91,H21,O91:H21,Bovine,1,
ECI-2617,O26,H11,O26:H11,Bovine,1,
ECI-2618,O26,H11,O26:H11,Human,1,
ECI-2619,O26,H11,O26:H11,Bovine,1,
ECI-2622,O26,H11,O26:H11,Human,1,
ECI-2626,O26,H11,O26:H11,Human,1,
ECI-2627,O45,H2,O45:H2,Bovine,1,
ECI-2628,O45,H2,O45:H2,Human,1,
ECI-2629,O45,H2,O45:H2,Human,1,
ECI-2630,O45,H2,O45:H2,Human,1,
ECI-2632,O45,H51,O45:H51,Bovine,1,
ECI-2633,O103,H2,O103:H2,Bovine,1,
ECI-2634,O103,H2,O103:H2,Human,1,
ECI-2637,O103,H2,O103:H2,Human,1,
ECI-2638,O103,H2,O103:H2,Ovine,1,
ECI-2639,O103,H2,O103:H2,Bovine,1,
ECI-2640,O103,H2,O103:H2,Bovine,1,
ECI-2642,O103,H2,O103:H2,Bovine,1,
ECI-2644,O139,H19,O139:H19,Bovine,1,
ECI-2681,O109,H5,O109:H5,Bovine,1,
ECI-2688,O46,H38,O46:H38,Bovine,1,
ECI-2699,O26,H11,O26:H11,Bovine,1,
ECI-2701,O111,H11,O111:H11,Bovine,1,
ECI-2754,O130,H38,O130:H38,Bovine,1,
ECI-2795,O5,H9,O5:H9,Water,1,
ECI-2856,O165,H25,O165:H25,Human,1,
ECI-2969,O2,H29,O2:H29,Water,1,
ECI-2978,O157,H7,O157:H7,Water,1,11.0
ECI-2979,O157,H7,O157:H7,Water,1,21.0
ECI-2980,O157,H7,O157:H7,Water,1,11.0
ECI-3004,O157,H7,O157:H7,Water,1,21.0
ECI-3005,O157,H7,O157:H7,Water,1,21.0
ECI-3006,O157,H7,O157:H7,Water,1,22.0
ECI-3033,O157,H7,O157:H7,Water,1,11.0
ECI-3034,O157,H7,O157:H7,Water,1,11.0
ECI-3035,O157,H7,O157:H7,Water,1,21.0
ECI-3065,O26,H11,O26:H11,Water,1,
ON-2011,O104,H4,O104:H4,Human,1,
EDL933,O157,H7,O157:H7,Human,1,
Sakai,O157,H7,O157:H7,Human,1,
